title,glass,garnish,recipe,ingredients
Apple Strudel (by Alex Kammerling),Martini glass,Dust with cinnamon powder,SHAKE first 5 ingredients with ice and fine strain into chilled glass. Carefully FLOAT cream by pouring over the back of a spoon.,"[['3 cl', 'Apple Schnapps liqueur'], ['1.5 cl', 'De Kuyper Brown Crème de Cacao'], ['1.5 cl', 'Dutch Cacao white crème de cacao'], ['1.5 cl', 'Cinnamon schnapps & Goldwasser liqueurs'], ['3 cl', 'Apple juice'], ['2.25 cl', 'Single cream / half-and-half']]"
Apple Strudel,Coupe glass,Cinnamon & sugar rim,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Ketel One Vodka'], ['1.5 cl', ""Dewar's 12 Year Old Scotch whisky""], ['1.5 cl', 'Apple Schnapps liqueur'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['1.5 cl', 'Apple juice'], ['0.5 cl', 'Cinnamon sugar syrup']]"
Apple Sunrise,Collins glass,Apple slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Avallen Calvados'], ['10.5 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Giffard Noir de Bourgogne Cassis']]"
Temperance Apple Mojito (Non-alcoholic),Collins glass,Mint sprig,"PLACE mint, lemon, lime and sugar in glass. Half fill glass with crushed ice and CHURN (stir). Add more crushed ice to fill glass. Add apple juice, top with soda and CHURN some more. Serve with straws.","[['12 fresh', 'Mint leaves'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['2.25 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['9 cl', 'Apple juice'], ['Top up with', 'Thomas Henry Soda Water']]"
Applesinth,Old-fashioned glass,Apple wedge,SHAKE all ingredients with ice and strain into glass filled with crushed ice.,"[['3 cl', 'La Fée Parisienne absinthe'], ['3 cl', 'Apple Schnapps liqueur'], ['6 cl', 'Apple juice'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Apples 'N' Pears,Coupe glass,Apple or pear slice,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2.5 cl', 'Avallen Calvados'], ['2 cl', 'Ketel One Vodka'], ['1.5 cl', 'Pear & cognac liqueur'], ['3 cl', 'Apple juice']]"
Appily Married,Coupe glass,Cinnamon & sugar rim,SHAKE all ingredients with ice and fine strain into chilled pre-prepared glass.,"[['5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Apple juice'], ['1.5 cl', 'Grapefruit juice (pink)'], ['1 cl', 'Honey syrup (3 honey to 1 water)']]"
Apricot Cosmo,Martini glass,Apricot slice,"STIR apricot preserve with vodka until preserve dissolves. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['6 cl', 'Ketel One Vodka'], ['1 spoon', 'Apricot jam (preserve)'], ['3 cl', 'Cranberry juice (sweetened)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['2 dash', 'Orange Bitters by Angostura']]"
Apricot Fizz,Collins glass,Lemon wedge,SHAKE first three ingredients with ice and strain into ice-filled glass. TOP with soda water.,"[['6 cl', 'De Kuyper Apricot Brandy liqueur'], ['3 cl', 'Orange juice (freshly squeezed)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['Top up with', 'Soda from siphon']]"
Apricot Lady Sour,Old-fashioned glass,Lemon slice & Luxardo Maraschino cherry on stick (sail),SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) to emulsify and fine strain into chilled glass.,"[['4.5 cl', 'Bacardi Carta Blanca light rum'], ['3 cl', 'De Kuyper Apricot Brandy liqueur'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Pasteurised egg white']]"
Apricot Mango Cocktail,Martini glass,Mango slice,SHAKE all ingredients with ice and fine strain into glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'De Kuyper Apricot Brandy liqueur'], ['2.25 cl', 'Mango purée'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 dash', 'Orange Bitters by Angostura']]"
Apricot Martini,Martini glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['3 cl', 'De Kuyper Apricot Brandy liqueur'], ['0.5 cl', 'Giffard Grenadine syrup'], ['0.75 cl', 'Lemon juice (freshly squeezed)'], ['3 dash', 'Angostura Aromatic Bitters'], ['2.25 cl', 'Chilled water (omit if using wet ice)']]"
April Shower,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Bénédictine D.O.M.'], ['3 cl', 'Orange juice (freshly squeezed)']]"
Apricot Sour,Old-fashioned glass,Lemon zest twist,"STIR apricot jam (preserve) with bourbon until it dissolves. Add other ingredients, SHAKE with ice and fine strain into ice-filled glass.","[['2 spoon', 'Apricot jam (preserve)'], ['4.5 cl', 'Bourbon whiskey'], ['1.5 cl', 'De Kuyper Apricot Brandy liqueur'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]"
Aquarius,Old-fashioned glass,Lemon slice & Luxardo Maraschino cherry on stick (sail),SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['3 cl', 'Cherry Heering cherry brandy liqueur'], ['4.5 cl', 'Cranberry juice (sweetened)']]"
Arizona Breeze,Collins glass,Grapefruit wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Rutte Dry Gin'], ['7.5 cl', 'Cranberry juice (sweetened)'], ['4.5 cl', 'Grapefruit juice (pink)']]"
Arnaud (Parisian Nights),Coupe glass,Blackberries,STIR all ingredients with ice and strain into chilled glass.,"[['3 cl', 'Rutte Dry Gin'], ['3 cl', 'Martini Extra Dry vermouth'], ['3 cl', 'Giffard Noir de Bourgogne Cassis']]"
Artlantic,Collins glass,Orange wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['3 cl', 'Spiced rum'], ['1.5 cl', 'Disaronno amaretto'], ['1.5 cl', 'De Kuyper Blue Curaçao'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['9 cl', 'Apple juice']]"
Asian Ginger Cocktail,Martini glass,Fresh ginger slice,"MUDDLE ginger in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['2 slice', 'Root ginger (thumbnail-sized slice)'], ['6.75 cl', 'Sake'], ['4.5 cl', 'Ketel One Vodka'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Asian Mary,Collins glass,Lemongrass,"MUDDLE ginger in base of shaker and add vodka. Squeeze wasabi paste onto bar spoon and STIR with vodka and ginger until dissolved. Add other ingredients, SHAKE with ice and fine strain into ice-filled glass.","[['3 slice', 'Root ginger (thumbnail-sized slice)'], ['3 pea', 'Wasabi paste'], ['9 cl', 'Ketel One Citroen Vodka'], ['1 spoon', 'Soy sauce'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['12 cl', 'Tomato juice']]"
Asian Pear Cocktail,Martini glass,Pear slice,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Sake'], ['0.75 cl', 'Pear & cognac liqueur'], ['1.5 cl', 'Poire William eau-de-vie'], ['4.5 cl', 'Pear juice (freshly pressed)'], ['0.75 cl', 'Lemon juice (freshly squeezed)']]"
Assisted Suicide,Shot glass,None,SHAKE first 2 ingredients with ice and strain into chilled glass. TOP with Coca-Cola.,"[['3 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'Jägermeister'], ['Top up with', 'Cola (e.g. Coca Cola & Pepsi Cola)']]"
Atholl Brose,Coupe glass,Dust with grated nutmeg,"STIR honey with Scotch in base of shaker until honey dissolves. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['2 spoon', 'Honey'], ['4 cl', ""Dewar's 12 Year Old Scotch whisky""], ['3 cl', 'Oat milk / oatmeal water'], ['0.5 cl', 'Drambuie liqueur'], ['0.5 cl', 'Disaronno amaretto'], ['1 cl', 'Single cream / half-and-half']]"
Atlantic Breeze,Collins glass,Orange slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'De Kuyper Apricot Brandy liqueur'], ['0.75 cl', ""Galliano L'Autentico liqueur""], ['7.5 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]"
Atomic Cocktail,Coupe glass,Orange zest twist,STIR first 3 ingredients with ice and fine strain into chilled glass. TOP with champagne.,"[['3 cl', 'Ketel One Vodka'], ['3 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Amontillado sherry'], ['2 cl', 'Brut Champagne']]"
Atomic Dog,Collins glass,Pineapple wedge & Luxardo Maraschino cherry,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Bacardi Carta Blanca light rum'], ['2.25 cl', 'Green melon liqueur'], ['2.25 cl', 'Coconut rum liqueur (35-40% alc./vol.)'], ['7.5 cl', 'Pineapple juice (fresh pressed)'], ['2.25 cl', 'Lemon juice (freshly squeezed)']]"
Attitude Adjuster,Hurricane glass,Orange slice & cherry on stick (sail),SHAKE first 3 ingredients with ice and strain into ice-filled glass. TOP with cola then DRIZZLE orange and coffee liqueurs.,"[['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['7.5 cl', 'Cola (e.g. Coca Cola & Pepsi Cola)'], ['0.5 cl', 'Grand Marnier or other cognac orange liqueur'], ['0.5 cl', 'Coffee liqueur']]"
Aunt Agatha,Old-fashioned glass,Orange zest twist,SHAKE first 3 ingredients with ice and strain into glass filled with crushed ice. DASH bitters over surface.,"[['4.5 cl', 'Navy rum (54.5% alc./vol.)'], ['6 cl', 'Orange juice (freshly squeezed)'], ['3 cl', 'Pineapple juice (fresh pressed)'], ['3 dash', 'Angostura Aromatic Bitters']]"
Aunt Emily,Coupe glass,Orange zest twist or apricot wedge on rim,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2.25 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Avallen Calvados'], ['2.25 cl', 'De Kuyper Apricot Brandy liqueur'], ['2.25 cl', 'Orange juice (freshly squeezed)'], ['0.5 cl', 'Giffard Grenadine syrup']]"
Auntie's Hot Xmas Punch,Toddy glass,Cinnamon stick,"POUR all ingredients into glass and stir. MICROWAVE for 40 seconds (vary time depending on your microwave oven), stir again and serve.","[['4.5 cl', 'Pedro Ximénez sherry'], ['6.75 cl', 'Rémy Martin 1738 Cognac'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['9 cl', 'Apple juice'], ['4 dash', ""Peychaud's or other Creole-style bitters""]]"
Autumn Cocktail,Martini glass,Orange zest twist,"Cut passion fruit in half and scoop out flesh into shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['1 fresh', 'Passion fruit'], ['6 cl', 'Bison grass vodka'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Passion fruit syrup'], ['1.5 cl', 'Pasteurised egg white']]"
Autumn Punch,Sling glass,Physalis (cape gooseberry),"Cut passion fruit in half and scoop out flesh into shaker. Add vodka, passion fruit syrup, pear and lemon juice, SHAKE with ice and strain into ice-filled glass. TOP with champagne.","[['1 fresh', 'Passion fruit'], ['6 cl', 'Bison grass vodka'], ['0.75 cl', 'Passion fruit syrup'], ['3 cl', 'Pear juice (freshly pressed)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['Top up with', 'Brut Champagne']]"
Avalanche,Collins glass,Banana chunk,BLEND ingredients with 12oz scoop of crushed ice. Pour into glass and serve with straws.,"[['6 cl', 'Giffard Banane du Brésil liqueur'], ['3 cl', 'Dutch Cacao white crème de cacao'], ['1.5 cl', 'Disaronno amaretto'], ['3 cl', 'Single cream / half-and-half'], ['3 cl', 'Milk (semi-skimmed/2% fat)'], ['1⁄2 fresh', 'Banana (fresh)']]"
Avalanche Shot,Shot glass,None,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Dutch Cacao white crème de cacao'], ['1.5 cl', 'Southern USA-style liqueur 40% (e.g. Southern Comfort)']]"
Avenue,Coupe glass,Orange zest twist,"Cut passion fruit in half and scoop flesh into shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['1 fresh', 'Passion fruit'], ['3 cl', 'Bourbon whiskey'], ['3 cl', 'Avallen Calvados'], ['0.75 cl', 'Giffard Grenadine syrup'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['0.125 cl', 'Orange flower/blossom water'], ['1 dash', 'Orange Bitters by Angostura']]"
Aviation Cocktail (Difford's recipe),Coupe glass,Lemon zest twist (& optional sugar rim),SHAKE all ingredients with ice and fine strain into chilled glass.,"[['5.25 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Luxardo Maraschino liqueur'], ['0.75 cl', 'Crème de violette liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Chilled water (omit if using wet ice)']]"
Aviator #1,Martini glass,Lemon zest twist,SHAKE first 4 ingredients with ice and fine strain into chilled glass. POUR cassis into centre of drink (it should sink).,"[['6 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Luxardo Maraschino liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Pasteurised egg white'], ['0.75 cl', 'Giffard Noir de Bourgogne Cassis']]"
Awol,Shot glass,None,LAYER in chilled glass by carefully pouring ingredients in the following order. Then FLAME drink and allow to burn for no more than ten seconds before extinguishing flame and consuming. Take extreme care and beware of hot glass.,"[['1.5 cl', 'Green melon liqueur'], ['1.5 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Ketel One Vodka'], ['1.5 cl', 'White overproof rum']]"
Azure Cocktail,Martini glass,Apple slice,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Novo Fogo Silver cachaça'], ['0.75 cl', 'Cinnamon schnapps & Goldwasser liqueurs'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
B2C2,Martini glass,Orange zest twist,SHAKE first 3 ingredients with ice and strain into ice-filled glass. TOP with champagne.,"[['3 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Bénédictine D.O.M.'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['Top up with', 'Brut Champagne']]"
B5200,Shot glass,None,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Irish cream liqueur'], ['1.5 cl', 'Navy rum (54.5% alc./vol.)']]"
B-52 Shot,Shot glass,None,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Irish cream liqueur'], ['1.5 cl', 'Grand Marnier or other cognac orange liqueur']]"
B-53 Shot,Shot glass,None,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Irish cream liqueur'], ['1.5 cl', 'Ketel One Vodka']]"
B-54 Shot,Shot glass,None,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['1.5 cl', 'Disaronno amaretto'], ['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Irish cream liqueur']]"
B-55 Shot,Shot glass,None,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Irish cream liqueur'], ['1.5 cl', 'La Fée Parisienne absinthe']]"
B-52 Frozen,Old-fashioned glass,Crumbled Cadbury's Flake bar,BLEND ingredients with 6oz scoop of crushed ice. Pour into glass and serve with straws.,"[['3 cl', 'Irish cream liqueur'], ['3 cl', 'Grand Marnier or other cognac orange liqueur'], ['3 cl', 'Coffee liqueur']]"
B & B,Old-fashioned glass,Lemon zest twist,STIR ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Bénédictine D.O.M.'], ['4.5 cl', 'Rémy Martin 1738 Cognac']]"
B. J. Shot,Shot glass,Thin layer of single cream,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['1.5 cl', 'Grand Marnier or other cognac orange liqueur'], ['1.5 cl', 'Irish cream liqueur']]"
Baby Blue Cocktail,Martini glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'De Kuyper Blue Curaçao'], ['1 cl', 'Grapefruit juice (white/yellow)'], ['2.5 cl', 'Pineapple juice (fresh pressed)']]"
Baby Guinness,Shot glass,None,Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"[['3 cl', 'Coffee liqueur'], ['1.5 cl', 'Irish cream liqueur']]"
Baby Woo Woo,Shot glass,Lime wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['1.5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Peachtree peach schnapps'], ['1.5 cl', 'Cranberry juice (sweetened)']]"
Bacardi Cocktail,Coupe glass,Luxardo Maraschino cherry,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Giffard Grenadine syrup'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Bahama Mama,Tiki mug or collins,"Pineapple wedge, Luxardo Maraschino cherry & mint sprigs bouquet",SHAKE all ingredients with ice and strain into ice-filled glass.,"[['1.5 cl', 'Jamaican aged blended rum'], ['0.75 cl', 'Overproof aged rum'], ['0.75 cl', 'Coconut rum liqueur (35-40% alc./vol.)'], ['0.75 cl', 'Coconut liqueur (under 35% alc./vol.)'], ['0.75 cl', 'Coffee liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['9 cl', 'Pineapple juice (fresh pressed)']]"
Bahamas Daiquiri,Martini (large 10oz) glass,Pineapple wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Overproof pot still rum'], ['2.25 cl', 'Coconut rum liqueur (35-40% alc./vol.)'], ['0.75 cl', 'Coffee liqueur'], ['4.5 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Lime juice (freshly squeezed)']]"
Bajan Mojito,Collins glass,Passion fruit & mint sprig,"Cut passion fruit in half and scoop flesh into glass. Add mint and gently MUDDLE (just to bruise mint). Add rum, lime juice and crushed ice. CHURN (stir) drink in glass to mix. DRIZZLE passion fruit liqueur and serve with straws.","[['1 fresh', 'Passion fruit'], ['8 fresh', 'Mint leaves'], ['6 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['0.75 cl', 'Passoã liqueur']]"
Bajan Passion,Coupe glass,Float passion fruit,"Cut passion fruit in half and scoop flesh into shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['1 fresh', 'Passion fruit'], ['4.5 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'De Kuyper Apricot Brandy liqueur'], ['3 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['0.75 cl', 'Vanilla sugar syrup']]"
Bajito,Collins glass,Mint sprig,"Lightly MUDDLE mint and basil in glass just enough to bruise. Add rum, sugar and lime juice. Half fill glass with crushed ice and CHURN (stir) with bar spoon. Add more crushed ice and CHURN some more. Continue adding crushed ice and churning until glass is full.","[['6 fresh', 'Mint leaves'], ['6 fresh', 'Basil leaves'], ['6 cl', 'Bacardi Carta Blanca light rum'], ['3 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
